MANDT,KUNNR,NAME1,LAND1,ORT01,REGIO,KTOKD,ERDAT
100,0000100001,  Helwan Solutions Co ,EG,Minya,MN,Z002,2022-02-12
100,0000100002,Red Sea Supplies Co,EG,Cairo,C,Z002,2023-11-27
100,0000100003,Sinai Manufacturing Co,EG,Damietta,,Z001,2022-06-29
100,0000100004,Memphis Industries Co,EG,Cairo,C,Z001,2022-08-09
100,0000100005,Red Sea Distribution Co,EG,Zagazig,SH,Z001,2022-06-05
100,0000100006,Nile Distribution Co,EG,Alexandria,ALX,Z001,2022-12-27
100,0000100007,Pharaohs Solutions Co,EG,Zagazig,SH,Z001,2024-06-24
100,0000100008,  Delta Logistics Co ,EG,,GZ,Z002,2022-06-28
100,0000100009,CANAL SUPPLIES CO,EG,,ASN,Z002,2023-02-21
100,0000100010,Nile Logistics Co,EG,Mansoura,DK,Z001,2023-05-22
100,0000100011,Red Sea Retail Co,EG,Minya,MN,Z001,2023-06-25
100,0000100012,  Helwan Industries Co ,EG,Alexandria,ALX,Z001,2024-04-03
100,0000100013,Canal Manufacturing Co,EG,Minya,MN,Z001,2022-07-21
100,0000100014,Mansoura Foods Co,EG,Port Said,PTS,Z001,2023-07-24
100,0000100015,Helwan Trading Co,EG,Suez,,Z001,2023-03-31
100,0000100016,Pyramids Supplies Co,EG,Suez,SUZ,Z001,2023-01-27
100,0000100017,Helwan Trading Co,EG,Aswan,ASN,Z002,2022-11-04
100,0000100018,Cairo Retail Co,EG,Suez,SUZ,Z002,2022-10-28
100,0000100019,Pharaohs Services Co,EG,Giza,GZ,Z002,2022-07-02
100,0000100020,Pharaohs Retail Co,EG,Giza,GZ,Z002,2023-01-21
100,0000100021,Mansoura Solutions Co,EG,Alexandria,ALX,Z002,2022-06-13
100,0000100022,  Delta Industries Co ,EG,Giza,GZ,Z002,2023-11-21
100,0000100023,October Services Co,EG,Aswan,,Z002,2023-03-11
100,0000100024,Memphis Services Co,EG,Alexandria,ALX,Z002,2024-03-22
100,0000100025,Memphis Services Co,EG,Minya,MN,Z001,2023-04-21
100,0000100026,Red Sea Solutions Co,EG,Ismailia,IS,Z002,2022-11-13
100,0000100027,Sinai Trading Co,EG,Port Said,PTS,Z002,2022-01-08
100,0000100028,Canal Solutions Co,EG,Zagazig,SH,Z002,2022-06-16
100,0000100029,Nile Manufacturing Co,EG,Giza,GZ,Z001,2022-10-24
