MANDT,MATNR,MTART,MATKL,MEINS,BRGEW,NTGEW,GEWEI,ERSDA
100,MAT00001,FERT,ELEC,Each,8.722,7.013,KG,2022-08-11
100,MAT00002,fert,OFFC,EA,7.454,6.988,KG,2024-09-05
100,MAT00003,ROH,PACK,EA,24.594,22.061,KG,2021-09-03
100,MAT00004,HAWA,MRO,EA,19.013,16.483,KG,2022-05-29
100,MAT00005,FERT,ELEC,EA,18.634,15.904,KG,2020-01-06
100,MAT00006,FERT,OFFC,EA,29.509,27.085,KG,2021-05-29
100,MAT00007,ROH,,EA,-12.104,10.804,KG,2022-06-22
100,MAT00008,HAWA,MRO,EA,25.073,20.9,KG,2022-06-15
100,MAT00009,FERT,ELEC,EA,33.475,25.523,KG,2020-05-26
100,MAT00010,FERT,OFFC,EA,3.479,2.942,KG,2024-03-03
100,MAT00011,ROH,PACK,EA,4.27,3.207,KG,2019-12-19
100,MAT00012,HAWA,MRO,EA,23.076,20.421,KG,2024-06-18
100,MAT00013,FERT,ELEC,EA,24.892,22.824,KG,2021-07-04
100, MAT00014 ,FERT,OFFC,EA,26.917,23.306,KG,2024-05-01
100,MAT00015,ROH,PACK,EA,21.409,19.656,KG,2022-01-16
100, MAT00016 ,HAWA,MRO,EA,28.23,27.213,KG,2023-07-18
100, MAT00017 ,FERT,ELEC,EA,25.662,20.37,KG,2024-06-02
100,MAT00018,FERT,OFFC,EA,-32.773,28.1,KG,2024-04-19
100,MAT00019,ROH,PACK,EA,4.733,4.362,KG,2022-12-30
100,MAT00020,HAWA,MRO,EA,34.245,26.759,KG,2023-05-05
100, MAT00021 ,FERT,ELEC,EA,19.142,17.231,KG,2024-02-13
100,MAT00022,FERT,OFFC,EA,28.149,24.322,KG,2021-06-30
100,MAT00023,ROH,PACK,EA,25.899,,KG,2023-12-19
100,MAT00024,HAWA,MRO,EA,0.241,0.213,KG,2023-06-12
100,MAT00025,FERT,ELEC,EA,4.245,3.859,KG,2024-01-25
100,MAT00026,FERT,OFFC,EA,31.773,26.119,KG,2023-05-25
100,MAT00027,roh,PACK,EA,18.883,18.195,KG,2022-10-07
100,MAT00028,HAWA,MRO,EA,7.174,6.052,KG,2022-04-01
100,MAT00029,FERT,ELEC,EA,23.089,19.153,KG,2023-05-30
100,MAT00030,FERT,OFFC,EA,20.575,17.542,KG,2020-02-26
100, MAT00031 ,ROH,PACK,EA,12.525,11.45,KG,2023-07-30
100,MAT00032,HAWA,MRO,EA,26.444,20.781,KG,2022-04-07
100,MAT00033,FERT,ELEC,EA,3.773,3.508,KG,2024-01-14
100,MAT00034,FERT,OFFC,EA,7.879,6.215,KG,2024-06-02
100,MAT00035,ROH,PACK,EA,30.448,26.31,KG,2023-12-06
100,MAT00036,HAWA,MRO,EA,34.077,25.937,KG,2020-06-24
100,MAT00037,FERT,ELEC,PC,31.939,24.935,KG,2023-11-29
100,MAT00038,FERT,OFFC,EA,6.4,5.495,KG,2019-09-18
100, MAT00039 ,ROH,PACK,EA,8.045,7.791,KG,2021-07-01
100,MAT00040,HAWA,MRO,EA,34.173,28.342,KG,2019-10-01
100,MAT00041,fert,ELEC,EA,7.627,5.935,KG,2020-12-25
100,MAT00042,FERT,OFFC,EA,26.249,22.706,KG,2023-04-24
100,MAT00043,ROH,PACK,EA,30.197,26.427,KG,2022-03-04
100,MAT00044,HAWA,MRO,EA,29.729,26.256,KG,2024-01-04
100,MAT00045,FERT,ELEC,EA ,33.977,28.92,KG,2021-09-11
100,MAT00046,FERT,OFFC,EA,9.591,7.882,KG,2020-08-06
100,MAT00047,ROH,PACK,EA,14.977,12.969,KG,2024-08-15
100,MAT00048,HAWA,MRO,EA,24.428,19.439,KG,2021-11-17
100,MAT00049,FERT,ELEC,EA,31.105,25.375,KG,2022-06-21
100,MAT00050,FERT,OFFC,EA,6.449,6.184,KG,2020-01-07
100,MAT00051,ROH,PACK,EA,22.109,16.787,KG,2020-01-05
100,MAT00052,HAWA,MRO,EA,5.449,,KG,2021-12-01
100,MAT00053,FERT,ELEC,EA,-23.894,,KG,2023-06-25
100,MAT00054,FERT,OFFC,EA,29.5,24.951,KG,2023-01-18
100,MAT00055,ROH,PACK,EA,21.867,16.405,KG,2024-01-19
100,MAT00056,HAWA,,EA,20.349,19.681,KG,2022-02-21
100,MAT00057,FERT,,EA,29.694,24.154,KG,2024-07-24
100,MAT00058,FERT,OFFC,EA,0.464,0.353,KG,2022-08-10
100,MAT00059,ROH,PACK,EA,1.83,1.389,KG,2021-10-05
100,MAT00060,HAWA,MRO,EA,19.942,19.013,KG,2020-10-17
100,MAT00061,FERT,ELEC,EA,11.019,9.821,KG,2021-03-03
100,MAT00062,FERT,OFFC,EA,16.255,13.403,KG,2019-10-08
100,MAT00063,ROH,PACK,EA,17.771,15.532,KG,2020-09-21
100,MAT00064,HAWA,MRO,PC,28.535,27.809,KG,2020-04-14
100,MAT00065,FERT,ELEC,EA,8.294,7.627,KG,2020-08-14
