MANDT,VBELN,AUART,VKORG,VTWEG,SPART,KUNNR,AUDAT,ERDAT,WAERK,GBSTK,BSTNK
100,5000000001,ZOR,3000,20,01,0000100075,2025-03-30,2025-03-30,EGP,C,PO-94057
100,5000000002,OR,1000,10,01,0000100033,2026-03-15,2026-03-15,EGP,A,PO-69496
100,5000000003,OR,2000,20,01,0000100016,2026-07-04,2026-07-05,EGP,B,PO-75358
100,5000000004,ZOR,3000,10,00,0000100091,2025-07-06,2025-07-06,EGP,C,PO-51497
100,5000000005,ZOR,3000,10,00,0000100092,2025-10-30,2025-10-30,EGP,C,PO-99593
100,5000000006,OR,1000,20,00,0000100036,,2025-10-20,EGP,C,PO-14269
100,5000000007,OR,2000,20,01,0000100096,2026-06-22,2026-06-22,EGP,A,PO-43081
100,5000000008,OR,2000,10,01,0000100069,2025-12-08,2025-12-09,EGP,A,PO-53734
100,5000000009,OR,1000,10,00,0000100076,2026-05-15,2026-05-15,EGP,C,PO-35036
100,5000000010,OR,2000,20,01,0000100097,2026-06-20,2026-06-20,EGP,C,PO-33777
100,5000000011,OR,1000,10,00,0000100051,2025-06-22,2025-06-22,EGP,C,PO-81944
100,5000000012,OR,1000,20,01,0000100083,2026-02-21,2026-02-21,EGP,B,PO-82237
100,5000000013,OR,2000,10,01,0000100082,2025-06-19,2025-06-19,EGP,C,PO-65723
100,5000000014,OR,2000,20,01,0000100086,2025-10-25,2025-10-25,EGP,C,PO-80363
100,5000000015,OR,1000,20,01,,2025-08-08,2025-08-08,EGP,C,PO-20938
100,5000000016,OR,3000,10,01,0000100093,2025-06-19,2025-06-19,EGP,C,PO-92285
100,5000000017,OR,3000,20,00,0000100053,2025-01-19,2025-01-19,EGP,C,PO-54320
100,5000000018,OR,2000,20,01,0000100020,2025-01-19,2025-01-20,EGP,C,PO-16505
100,5000000019,OR,1000,10,01,0000100084,2026-07-23,2026-07-23,EGP,C,PO-19968
100,5000000020,OR,1000,10,00,0000100067,2026-13-05,2025-03-22,EGP,C,PO-12919
100,5000000021,OR,1000,10,00,0000100031,2026-07-29,2026-07-29,EGP,C,PO-66184
100,5000000022,OR,1000,20,01,0000100066,2025-06-27,2025-06-28,EGP,C,PO-15160
100,5000000023,OR,1000,10,01,0000100068,2025/01/09,2025-01-09,EGP,B,PO-20839
100,5000000024,OR,3000,10,01,0000100039,2025-09-02,2025-09-02,EGP,C,PO-80326
100,5000000025,ZOR,1000,10,00,0000100011,2026/05/26,2026-05-27,EGP,C,PO-75981
100,5000000026,OR,1000,20,00,0000100011,2026-05-16,2026-05-16,EGP,C,PO-75129
100,5000000027,OR,1000,10,00,0000100070,2025-09-30,2025-09-30,EGP,C,PO-17393
100,5000000028,OR,1000,20,01,0000100027,2025/05/15,2025-05-15,EGP,C,PO-20959
100,5000000029,OR,1000,10,00,0000100087,2026-03-08,2026-03-08,EGP,B,PO-38112
100,5000000030,OR,2000,20,00,0000100038,2026-04-07,2026-04-08,EGP,B,PO-20509
100,5000000031,OR,1000,10,01,0000100055,2026-08-01,2026-08-01,EGP,C,PO-89724
100,5000000032,OR,2000,10,01,0000100010,2026-03-04,2026-03-05,EGP,C,PO-31379
100,5000000033,ZOR,3000,10,01,,2025-06-13,2025-06-13,EGP,C,PO-97289
100,5000000034,OR,2000,20,01,0000100083,2025-12-05,2025-12-05,EGP,C,PO-76968
100,5000000035,OR,1000,10,00,0000100038,2026-04-10,2026-04-10,EGP,A,PO-29670
100,5000000036,OR,3000,20,01,0000100041,2025-07-26,2025-07-27,EGP,B ,PO-95814
100,5000000037,OR,3000,10,01,0000100099,2025-07-19,2025-07-19,EGP,B,PO-33429
100,5000000038,OR,2000,10,01,0000100039,2026-06-30,2026-06-30,,A,PO-51424
100,5000000039,OR,1000,20,00,0000100048,2026-07-27,2026-07-27,EGP,C,PO-27278
100,5000000040,OR,1000,10,01,0000100024,2025-10-15,2025-10-16,EGP,C,PO-14106
100,5000000041,OR,1000,20,00,0000100013,2025-05-06,2025-05-06,EGP,C,PO-62167
100,5000000042,OR, 1000,20,00,0000100058,2026-02-08,2026-02-09,EGP,C,PO-11310
100,5000000043,OR,3000,20,00,0000100029,10/02/2026,2026-02-10,EGP,C,PO-21647
100,5000000044,OR,1000,10,00,0000100055,,2025-09-01,EGP,B,PO-55729
100,5000000045,OR, 2000,20,00,0000100003,2025-09-19,2025-09-20,EGP,C,PO-55538
100,5000000046,OR,3000,20,01,0000100048,2025-12-30,2025-12-31,EGP,C,PO-82830
