MANDT,VBELN,POSNR,MATNR,ARKTX,KWMENG,VRKME,NETPR,NETWR,WERKS,LGORT,PSTYV,ABGRU
100,5000000001,000010,MAT00080,Tool Kit 20,43,EA,2389.09,102730.87,G100,0001,TAN,
100,5000000001,000020,MAT00025,Barcode Scanner 7,15,EA,19736.23,296043.45,C100,0001,TAN,
100,5000000001,000030,MAT00028,Safety Gloves 7,8,EA,5625.51,45004.08,A100,0002,TAN,
100,5000000001,000040,MAT00051,Bubble Wrap 13,50,EA,-859.7,51582.0,A100,0003,TAN,
100,5000000002,000010,MAT00052,Safety Helmet 13,26,EA,5183.31,134766.06,X999,0002,TAN,
100,5000000002,000020,MAT00044,Tool Kit 11,2,EA ,5252.7,10505.4,C100,0002,TAN,
100,5000000002,000030,MAT00021,Business Monitor 6,6,EA,28080.21,168481.26,A100,0002,TAN,
100,5000000002,000040,MAT00034,Desk Lamp 9,44,EA,11248.79,494946.76,A100,0001,TAN,
100,5000000003,000010,MAT00030,Standing Desk 8,3,EA,6039.39,18118.17,G100,0003,TAN,
100,5000000003,000020,MAT99999,Filing Cabinet 20,32,EA,9209.18,294693.76,C100,0002,TAN,
100,5000000004,000010,MAT00042,Desk Lamp 11,59,EA,4247.74,250616.66,C100,0002,TAN,
100,5000000004,000020,MAT00013,Business Monitor 4,-1,EA,31446.72,440254.08,A100,0002,TAN,
100,5000000005,000010,mat00056,Safety Gloves 14,36,EA,5795.65,208643.4,G100,0001,TAN,
100,5000000006,000010,MAT00050,Filing Cabinet 13,16,EA,9306.13,148898.08,C100,0002,TAN,
100,5000000006,000020,MAT00034,Desk Lamp 9,49,EA,11151.24,546410.76,A100,0001,TAN,
100,5000000007,000010,MAT00068,Safety Gloves 17,38,EA,6048.95,229860.1,G100,0002,TAN,
100,5000000007,000020,MAT00012,Drill Bit Set 3,4,EA,4448.58,17794.32,G100,0003,TAN,
100,5000000008,000010, MAT00005,USB-C Dock 2,32,EA,6543.44,314085.12,G100,0001,TAN,
100,5000000008,000020,MAT00022,Office Chair 6,25,EA,7174.77,179369.25,C100,0003,TAN,
100,5000000009,000010,MAT00003,Packing Tape 1,1,EA,872.26,872.26,C100,0001,TAN,
100,5000000009,000020,MAT00040,Drill Bit Set 10,0,EA,3183.78,28654.02,G100,0003,TAN,
100,5000000010,000010,MAT00048,Safety Helmet 12,41,EA,1752.91,71869.31,G100,0001,TAN,
100,5000000010,000020,MAT00010,Office Chair 3,-1,EA,14899.84,625793.28,G100,0001,TAN,
100,5000000010,000030,MAT00049,Laptop 15 Inch 13,2,EA,13037.21,26074.42,C100,0003,TAN,
100,5000000010,000040,MAT00015,Carton Box 4,54,EA,191.78,10356.12,G100,0002,TAN,
100,5000000011,000010,MAT00040,Drill Bit Set 10,45,EA,3486.11,156874.95,A100,0001,TAN,
100,5000000012,000010,MAT00051,Bubble Wrap 13,56,EA,1000.43,56024.08,C100,0001,TAN,
100,5000000012,000020,MAT00020,Tool Kit 5,50,EA,3626.65,181332.5,X999,0002,TAN,
100,5000000012,000030,MAT00008,Industrial Lubricant 2,13,EA,6751.87,87774.31,A100,0002,TAN,
100,5000000012,000040,MAT00023,Pallet 6,0,EA,1145.61,52698.06,C100,0001,TAN,
100,5000000013,000010, MAT00077,Business Monitor 20,50,EA,4055.55,202777.5,A100,0001,TAN,
100,5000000013,000020,MAT00079,Packing Tape 20,52,EA,56.44,2934.88,A100,0001,TAN,
